,Timestamp,"Country -- Please type either the full name of your country or a common abbreviation. For U.S, enter U.S.A or United States of America",State -- If not in U.S enter NA or ignore,Industry,"""Official"" Role (Job Title)","Yearly Salary (Enter full number, Ex. 79,000)",Hours worked per week,Hourly Wage (Yearly / (52 * Hours worked)),Years worked at current company? If self-employed enter years since you have been self-employed,Years of experience- Enter as Decimal/Integer,Unemployed? [Y/N],Average cost of rent for your state/country,"What is your expected tax contribution? Enter as a full number, Ex. 14,000, enter  ""Unsure"" if unknown","How much do you pay in utilities? If your rent includes utilities, ignore or enter NA",How much do you typically spend on groceries for a given month? Enter NA if non-applicable
0,11/19/2021 15:34:03,United States of America ,California,Government,Customer service representative ,39411,40,18.95,1.5,1.5,N,1184,5200,100,160
1,11/19/2021 15:38:11,U.S.A,Washington,Facilities ,Move/Relocation Manager ,"90,000",40,43.2,3,6,N,2100,Unsure,200,250
2,11/19/2021 15:42:08,U.S.A.,South Carolina,Higher Education - online,Senior Program Faculty,"$59,000",35-45,$28.30,5,20,N,700,18200,400,600
3,11/19/2021 15:45:08,USA,DC,Nonprofit,Project Coordinator,"56,000",40,$26.92,1,4,N,1800 for 1 BD,"$10,000",150,400
4,11/19/2021 15:46:20,Australia,,Marketing/Wine,Sales & Marketing Manager,90000,38,49,1,5,N,"$2,400 month","21,000",800,600
5,11/19/2021 15:48:59,USA,CA,Defense,Mechanics engineer ,69000,40,33.17,1,1,N,avg 1br apartment for $2500/mo,22700,,500
6,11/19/2021 15:48:59,Germany,,IT,Frontend Developer,26400,40,"12,79€",0,0,N,500€,"2,500€",100€,300€
7,11/19/2021 15:49:23,U.S.A,Iowa,Government ,Administrative Assistant ,"42,500",40,20.43,1,10,Yes,,8000,,300
8,11/19/2021 15:50:15,U.S.A,CA,Financial Sector,Corp and Equity Trade/Settlements,"55,000",45,26,2,2,N,2200,8000,400,200
9,11/19/2021 15:55:25,U.S.A,California,Creative / Web Design & Development,Developer,31000,35,17.03,3,4,N,"$1,200","$6,000",150,$500
10,11/19/2021 15:58:11,U.S.A.,Washington,Baking,Cake Decorator ,"24,000",30,20,2,5,N,2169,2400,200,350
11,11/19/2021 15:58:29,US,Il,Food service,Service manager,"34,000",30,$18.00,4,12,N,"1,000",Unsure,$400,
12,11/19/2021 16:00:09,U.S.A,California,Food,Barista,4500,5,16.32,2,2,N,2000,350,50,500
13,11/19/2021 16:03:15,U.S.A,Oregon,Administration,Senior Office Coordinator ,"59,000",40,28.38,0,8,N,2000,3887,350,500
14,11/19/2021 16:03:26,United States,Oregon,Financial,Data Admin,"30,000",30,20,5,13,N,"1,222",5000,500,800
